local authority: county / unitary (prior to April 2015),All categories: Ethnic group,White,Mixed,Asian,Black,Other
Hampshire,1317788,1252123,18051,35356,8298,3960
Kent,1463740,1371102,22107,47614,16216,6701
Oxfordshire,653798,594004,13233,31657,11424,3480
Surrey,1132390,1023682,23554,63498,12430,9226
West Sussex,806892,756499,12155,28334,7146,2758
Bath and North East Somerset,176016,166473,2898,4577,1326,742
Bournemouth,183491,168797,4191,7066,1764,1673
"Bristol, City of",428234,359592,15438,23655,25734,3815
Cornwall,532273,522848,4400,3434,762,829
Isles of Scilly,2203,2177,18,2,2,4
North Somerset,202566,197076,2033,2436,632,389
Plymouth,256384,246509,3287,3906,1678,1004
Poole,147645,141523,1916,3276,520,410
South Gloucestershire,262767,249574,3667,6440,2218,868
Swindon,209156,187898,4226,13365,2861,806
Torbay,130959,127699,1420,1353,251,236
Wiltshire,470981,454971,5568,6178,3228,1036
Devon,746399,728073,6520,8710,1413,1683
Dorset,412905,404317,3400,3833,924,431
Gloucestershire,596984,569647,8661,12433,5150,1093
Somerset,529972,519255,4241,4873,1013,590
Isle of Anglesey,69751,68520,480,491,81,179
Gwynedd,121874,117573,964,2170,289,878
Conwy,115228,112549,894,1252,199,334
Denbighshire,93734,91254,751,1430,161,138
Flintshire,152506,150161,851,1201,142,151
Wrexham,134844,130647,1010,2321,625,241
Powys,132976,130827,760,1142,132,115
Ceredigion,75922,73443,736,1099,266,378
Pembrokeshire,122439,120121,733,1192,179,214
Carmarthenshire,183777,180323,1033,1837,279,305
Swansea,239023,224697,2160,7803,1983,2380
Neath Port Talbot,139812,137087,910,1369,299,147
Bridgend,139178,136090,998,1549,315,226
Vale of Glamorgan,126336,121838,1695,1967,489,347
Cardiff,346090,293114,10031,27885,8201,6859
Rhondda Cynon Taff,234410,228241,1506,3030,1308,325
Merthyr Tydfil,58802,57391,462,696,143,110
Caerphilly,178806,175845,1174,1346,242,199
Blaenau Gwent,69814,68750,394,485,95,90
Torfaen,91075,89231,603,977,169,95
Monmouthshire,91323,89526,624,900,144,129
Newport,145736,131025,2752,7986,2535,1438
,,,,,,
,,,,,,
