FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01005561,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027003,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01026775,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01026747,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01026894,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027102,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01027064,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01000189,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01000285,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01026983,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027025,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01026968,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01003894,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01003836,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01003832,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01003843,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01000128,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01000268,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01000141,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01006154,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01003903,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01000367,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01003873,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01003877,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01000363,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01003847,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01000317,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01004585,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01004599,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01005190,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01004560,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01004969,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01004983,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01005068,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01005065,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01005051,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01005180,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01003984,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01003983,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005105,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01005145,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01005034,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027138,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027033,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01004894,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027046,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027166,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01000169,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01027119,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027123,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01003541,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01004951,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01005033,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01003543,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01004939,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01004984,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01004827,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01012869,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012891,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01012630,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012699,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01013073,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01013897,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012960,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01013086,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01012181,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01013052,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01012563,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01012101,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012977,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01012622,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01012682,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01013987,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01012409,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01013835,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01013993,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012618,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01012609,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01012412,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012439,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01013573,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01013575,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01013607,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01013862,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01013737,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01013766,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01013623,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01008775,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01008887,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008789,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01008937,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01007890,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01007783,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008963,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01007784,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01008598,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01008891,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01008124,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008568,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01008672,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01008504,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01008517,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01012145,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01012325,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01012352,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01012397,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01012565,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012147,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012896,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01012201,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01008622,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01008642,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01007865,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01007899,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01007847,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01007824,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01008759,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002375,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01026842,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01012743,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01026893,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002350,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01002356,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027533,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01026812,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027134,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01012864,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027211,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027088,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01012852,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027043,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01012715,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01029837,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029840,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01010997,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029862,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029742,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01030465,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01030203,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029833,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01002317,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029879,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01027110,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01002327,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029870,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01010902,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029849,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027346,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027373,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027549,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027340,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027544,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027630,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027477,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027507,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01013678,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012416,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01013688,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01013643,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027573,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01027367,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01013650,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027425,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01000354,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027444,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027399,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027011,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01027065,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027411,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01026969,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01000302,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01000380,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027624,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01000250,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01000393,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01001752,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001758,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01029359,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01029401,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029350,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01029530,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029754,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029315,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029803,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029691,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012255,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011971,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01012285,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01012191,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029231,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029255,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01012248,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01029981,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029954,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01002407,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029388,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01008432,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01008498,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01008416,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01008423,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01002455,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002489,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029753,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002573,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002469,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029990,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029848,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01002648,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002531,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002918,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002878,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01002539,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029892,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01002540,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01002670,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01028029,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01028011,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027897,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027963,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01002642,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002697,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01002610,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01029912,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01011965,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029855,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029953,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01012160,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01012146,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01011970,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01011996,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01012161,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01012170,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01012171,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01029878,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029817,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029820,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01012190,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01007755,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01007689,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002214,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002269,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01008095,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01007695,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01007732,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008076,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01001900,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01001846,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01001922,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002245,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002253,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01002107,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01002170,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01007971,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01007903,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01008107,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01007919,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008006,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01008098,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008029,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01008123,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01007878,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01007538,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01007541,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01007630,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01007920,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01007929,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01007496,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008358,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01008838,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008398,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008304,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01008230,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01008275,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01008855,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01008324,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01002082,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01001949,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01008445,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01008492,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01008424,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002008,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01002056,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01000029,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01000035,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01002209,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01000122,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01013998,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01001921,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01000415,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01014018,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01008162,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01000178,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01008469,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01008219,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01000135,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002182,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01000038,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029240,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029261,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029145,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029222,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029454,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029195,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029316,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029395,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01005306,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01005349,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01021480,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01005372,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01029156,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029256,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01021328,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005348,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01029894,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029727,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01029722,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029736,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01013405,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028307,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01013418,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01028338,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01029883,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029908,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029176,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029881,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029554,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01029860,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029578,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01002549,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002550,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01030046,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01030068,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01030011,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029675,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01002611,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01030012,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027635,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027779,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027720,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01027512,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01030067,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029927,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029949,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029715,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01021264,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029466,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029623,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01021530,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01021370,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01021310,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01021334,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01021536,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01021668,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01021706,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029686,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029475,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029700,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01021746,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027173,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027200,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01013512,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01013471,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027266,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027374,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027243,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027384,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01013316,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01013777,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01013721,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01013840,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01013642,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01013045,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01013622,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027611,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01028062,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01028077,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027564,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027338,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01027840,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027956,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027973,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027482,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027241,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01027487,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027446,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01028082,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027983,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
