FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01011210,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012485,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012211,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01001435,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01028741,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012214,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01012421,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012449,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01012176,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012085,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01012083,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01011932,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01011931,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01012434,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01012427,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01011905,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011891,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01012358,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01012051,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01012196,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01012253,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01011844,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011828,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01012049,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002136,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01012014,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01002242,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01002169,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01001871,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002221,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01011953,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01001898,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01001983,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001948,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002296,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01002319,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002279,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01002310,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01002227,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01028787,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01001466,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001793,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01001487,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01028714,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028775,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01002252,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01001377,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01001794,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01028744,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01002215,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001705,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001481,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01001566,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01001740,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01029034,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029391,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01028881,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029007,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01029380,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029538,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01029405,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029681,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029663,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029059,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029079,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029662,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01029033,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029336,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029343,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01028453,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01028377,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028220,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01028287,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01000041,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01006412,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01028410,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01000024,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01029705,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029646,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029367,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029651,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029710,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028178,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029664,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029909,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029461,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029913,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029659,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029893,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029854,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029516,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029605,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011921,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01011918,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01011818,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01011810,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029942,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029859,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
